Borough,Neighborhood,Latitude,Longitude
Chapinero,Sucre,4.632268,-74.066803
Chapinero,Cataluña,4.637752,-74.062538
Chapinero,Marly,4.639927,-74.063965
Chapinero,Chapinero Central,4.644474,-74.065406
Chapinero,Chapinero Norte,4.650260,-74.064364
Chico Lago,Quinta Camacho,4.654833,-74.05995
Chico Lago,Porciuncula,4.657334,-74.054071
Chico Lago,El Retiro,4.665979,-74.054161
Chico Lago,Espartillal,4.666070,-74.054602
Chico Lago,Lago Gaitan,4.666212,-74.056375
Chico Lago,La Cabrera,4.668217,-74.051295
Chico Lago,Antiguo Country,4.673155,-74.053941
Chico Lago,El Chico,4.673731,-74.051896
Chico Lago,Chico Norte III,4.684461,-74.052455
Chico Lago,Chico Norte II,4.684461,-74.052455
Chico Lago,Chico Norte,4.684461,-74.052455
El Refugio,Los Rosales,4.655911,-74.048653
El Refugio,Bellavista,4.656507,-74.051043
El Refugio,El Nogal,4.660320,-74.053563
El Refugio,La Cabrera,4.666969,-74.046055
El Refugio,El Refugio,4.667615,-74.044039
El Refugio,Seminario,4.673152,-74.041961
Pardo Rubio,Mariscal Sucre,4.630907,-74.061026
Pardo Rubio,Chapinero Alto,4.632324,-74.063245
Pardo Rubio,El Castillo,4.638367,-74.061342
Pardo Rubio,Bosque Calderon,4.641071,-74.060551
Pardo Rubio,Ingemar,4.642302,-74.056315
Pardo Rubio,La Salle,4.644546,-74.059476
Pardo Rubio,Granada,4.647753,-74.05422
Pardo Rubio,Emaus,4.651074,-74.053996